['asVisit-dr17-12776-59154-069.fits', 656]
['asVisit-dr17-12776-59155-069.fits', 661]
['asVisit-dr17-12776-59156-069.fits', 655]
['asVisit-dr17-12776-59157-069.fits', 657]
['asVisit-dr17-12776-59164-070.fits', 654]
['asVisit-dr17-12776-59165-070.fits', 662]
['asVisit-dr17-12776-59166-070.fits', 663]
['apVisit-dr17-7063-56666-028.fits', 771]
['apVisit-dr17-9243-57677-015.fits', 817]
['apVisit-dr17-9243-57654-016.fits', 816]
['apVisit-dr17-12184-58776-247.fits', 1974]
['apVisit-dr17-12184-58861-253.fits', 1975]
['apVisit-dr17-9069-57822-224.fits', 2649]
['apVisit-dr17-9069-58150-224.fits', 2639]
['apVisit-dr17-9264-59059-221.fits', 2644]
['apVisit-dr17-9264-59159-227.fits', 2647]
['apVisit-dr17-7950-58731-227.fits', 2629]
['apVisit-dr17-7950-59074-224.fits', 2625]
['apVisit-dr17-7951-59155-278.fits', 2635]
['apVisit-dr17-9264-57672-224.fits', 2646]
['apVisit-dr17-9264-57709-227.fits', 2651]
['apVisit-dr17-9519-57760-224.fits', 2650]
['apVisit-dr17-9264-58009-218.fits', 2643]
['apVisit-dr17-9519-58028-221.fits', 2642]
['apVisit-dr17-9264-58054-224.fits', 2641]
['apVisit-dr17-9519-58083-224.fits', 2640]
['apVisit-dr17-9519-58121-224.fits', 2637]
['apVisit-dr17-5095-55821-233.fits', 2634]
['apVisit-dr17-5095-55824-230.fits', 2633]
['apVisit-dr17-5095-55840-230.fits', 2623]
['apVisit-dr17-9084-57556-224.fits', 2622]
['apVisit-dr17-9082-57789-218.fits', 2624]
['apVisit-dr17-9083-57887-275.fits', 2619]
['apVisit-dr17-7950-58060-224.fits', 2630]
['apVisit-dr17-7950-58085-224.fits', 2631]
['apVisit-dr17-9135-58295-233.fits', 2632]
['apVisit-dr17-7950-58384-224.fits', 2627]
['apVisit-dr17-6560-56584-077.fits', 2676]
['apVisit-dr17-12700-59077-234.fits', 2678]
['apVisit-dr17-7063-56666-117.fits', 3001]
['apVisit-dr17-9243-57654-010.fits', 3072]
['apVisit-dr17-9243-58033-279.fits', 3952]
['apVisit-dr17-9243-57654-285.fits', 3951]
['asVisit-dr17-12776-59147-039.fits', 4669]
['apVisit-dr17-9243-57677-119.fits', 4950]
['apVisit-dr17-9243-58033-113.fits', 4952]
['apVisit-dr17-9243-57654-011.fits', 4951]
['apVisit-dr17-7062-56635-105.fits', 5164]
['apVisit-dr17-7063-56644-106.fits', 5167]
['apVisit-dr17-7063-56666-106.fits', 5170]
['apVisit-dr17-7494-56848-058.fits', 5171]
['apVisit-dr17-9243-57654-112.fits', 5172]
['apVisit-dr17-9243-57677-010.fits', 5166]
['apVisit-dr17-9243-58033-004.fits', 5168]
['apVisit-dr17-7062-56635-278.fits', 5433]
['apVisit-dr17-7063-56644-218.fits', 5430]
['apVisit-dr17-7063-56666-182.fits', 5434]
['apVisit-dr17-7494-56848-236.fits', 5435]
['apVisit-dr17-9243-57654-118.fits', 6079]
['apVisit-dr17-9243-57677-093.fits', 6080]
['apVisit-dr17-9243-58033-249.fits', 6149]
['asVisit-dr17-11914-58804-254.fits', 6558]
['apVisit-dr17-9243-57677-139.fits', 6729]
['apVisit-dr17-5266-55869-023.fits', 6815]
['apVisit-dr17-5267-55871-026.fits', 6820]
['apVisit-dr17-5267-56204-008.fits', 6817]
['apVisit-dr17-12700-59074-039.fits', 6909]
['apVisit-dr17-12700-59077-039.fits', 6908]
['apVisit-dr17-9243-57677-256.fits', 7311]
['apVisit-dr17-9243-58033-202.fits', 7304]
['apVisit-dr17-7062-56635-256.fits', 7308]
['apVisit-dr17-7063-56644-244.fits', 7307]
['apVisit-dr17-7062-56646-298.fits', 7303]
['apVisit-dr17-7063-56666-244.fits', 7305]
['apVisit-dr17-7494-56848-244.fits', 7310]
['apVisit-dr17-9243-57654-255.fits', 7309]
['apVisit-dr17-9243-57674-256.fits', 7302]
['apVisit-dr17-7062-56646-295.fits', 7362]
['apVisit-dr17-7062-56650-295.fits', 7363]
['apVisit-dr17-7494-56848-246.fits', 7359]
['apVisit-dr17-7062-56650-144.fits', 7393]
['asVisit-dr17-10081-58025-255.fits', 8415]
['asVisit-dr17-11914-58804-246.fits', 9980]
['apVisit-dr17-7062-56635-033.fits', 10399]
['apVisit-dr17-7063-56644-081.fits', 10400]
['apVisit-dr17-7062-56646-033.fits', 10401]
['apVisit-dr17-7062-56650-033.fits', 10402]
['apVisit-dr17-7063-56666-033.fits', 10403]
['apVisit-dr17-7063-56666-034.fits', 11043]
['asVisit-dr17-11914-58804-203.fits', 11237]
